Fecha,Último
13122021, 46703
14122021, 48366
15122021, 48871
16122021, 47628
17122021, 46172
18122021, 46856
19122021, 46704
20122021, 46894
21122021, 48902
22122021, 48599
23122021, 50801
24122021, 50786
25122021, 50406
26122021, 50779
27122021, 50678
28122021, 47545
29122021, 46461
30122021, 47123
31122021, 46219
01012022, 47738
02012022, 47311 
03012022, 46430
04012022, 45837
05012022, 43425
06012022, 43097
07012022, 41546
08012022, 41672
09012022, 41842
10012022, 41832
11012022, 42733
12012022, 43901
13012022, 42560
14012022, 43073
15012022, 43097 
16012022, 43079
17012022, 42209 
18012022, 42364
19012022, 41677
20012022, 40715 
21012022, 36475 
22012022, 35075
23012022, 36269
24012022, 36686
25012022, 36950
26012022, 36800
27012022, 37164
28012022, 37745
29012022, 38170
30012022, 37917
31012022, 38498
01022022, 38709
02022022, 36890
03022022, 37287
04022022, 41567
05022022, 41412
06022022, 42392
07022022, 43833
08022022, 44038
09022022, 44388
10022022, 43521
11022022, 42388
12022022, 42205
13022022, 42061
14022022, 42550
15022022, 44544
16022022, 43883
17022022, 40552 
18022022, 40000
19022022, 40090
20022022, 38355
21022022, 37017
22022022, 38248
23022022, 37224
24022022, 38339
25022022, 39209
26022022, 39115
27022022, 37689
28022022, 43188
01032022, 44420
02032022, 43912
03032022, 42463
04032022, 39142
05032022, 39395
06032022, 38403
07032022, 38024
08032022, 38744
09032022, 41929
10032022, 39416
11032022, 38730 
12032022, 38814
13032022, 37792
14032022, 39671
15032022, 39285
16032022, 41118
17032022, 40914
18032022, 41767
19032022, 42233
