Fecha;Último
16.09.2021;75
17.09.2021;75
18.09.2021;75
19.09.2021;75
20.09.2021;73
21.09.2021;74
22.09.2021;76
23.09.2021;77
24.09.2021;78
25.09.2021;78
26.09.2021;77
27.09.2021;79
28.09.2021;79
29.09.2021;78
30.09.2021;78
01.10.2021;79
02.10.2021;79
03.10.2021;79
04.10.2021;81
05.10.2021;82
06.10.2021;81
07.10.2021;81
08.10.2021;82
09.10.2021;82
10.10.2021;82
11.10.2021;83
12.10.2021;83
13.10.2021;83
14.10.2021;84
15.10.2021;84
16.10.2021;84
17.10.2021;84
18.10.2021;84
19.10.2021;85
20.10.2021;85
21.10.2021;84
22.10.2021;85
23.10.2021;85
24.10.2021;85
25.10.2021;85
26.10.2021;86
27.10.2021;84
28.10.2021;84
29.10.2021;84
30.10.2021;84
31.10.2021;84
01.11.2021;84
02.11.2021;84
03.11.2021;81
04.11.2021;80
05.11.2021;82
06.11.2021;82
07.11.2021;82
08.11.2021;83
09.11.2021;84
10.11.2021;82
11.11.2021;82
12.11.2021;82
13.11.2021;82
14.11.2021;82
15.11.2021;82
16.11.2021;82
17.11.2021;80
18.11.2021;81
19.11.2021;78
20.11.2021;78
21.11.2021;78
22.11.2021;79
23.11.2021;82
24.11.2021;82
25.11.2021;82
26.11.2021;72
27.11.2021;72
28.11.2021;72
29.11.2021;73
30.11.2021;70
01.12.2021;68
02.12.2021;68
03.12.2021;69
04.12.2021;69
05.12.2021;69
06.12.2021;73
07.12.2021;75
08.12.2021;75
09.12.2021;74
10.12.2021;75
11.12.2021;75
12.12.2021;74
13.12.2021;74
14.12.2021;73
15.12.2021;73
16.12.2021;75
17.12.2021;73
18.12.2021;73
19.12.2021;73
20.12.2021;71
21.12.2021;73
22.12.2021;75
23.12.2021;76
24.12.2021;76
25.12.2021;76
26.12.2021;77
27.12.2021;78
28.12.2021;78
29.12.2021;79
30.12.2021;79
31.12.2021;77
01.01.2022;77
02.01.2022;77
03.01.2022;78
04.01.2022;80
05.01.2022;80
06.01.2022;81
07.01.2022;81
08.01.2022;81
09.01.2022;81
10.01.2022;80
11.01.2022;83
12.01.2022;84
13.01.2022;84
14.01.2022;86
15.01.2022;86
16.01.2022;86
17.01.2022;86
18.01.2022;87
19.01.2022;88
20.01.2022;88
21.01.2022;87
22.01.2022;87
23.01.2022;87
24.01.2022;86
25.01.2022;88
26.01.2022;88
27.01.2022;88
28.01.2022;90
29.01.2022;91
30.01.2022;91
31.01.2022;91
01.02.2022;89
02.02.2022;89
03.02.2022;91
04.02.2022;93
05.02.2022;92
06.02.2022;92
07.02.2022;92
08.02.2022;90
09.02.2022;91
10.02.2022;91
11.02.2022;94
12.02.2022;94
13.02.2022;94
14.02.2022;96
15.02.2022;93
16.02.2022;94
17.02.2022;92
18.02.2022;93
19.02.2022;93
20.02.2022;93
21.02.2022;95
22.02.2022;96
23.02.2022;96
24.02.2022;99
25.02.2022;97
26.02.2022;97
27.02.2022;97
28.02.2022;100
01.03.2022;104
02.03.2022;112
03.03.2022;110
04.03.2022;118
05.03.2022;119
06.03.2022;118
07.03.2022;123
