Fecha;Último
14.02.2022;23
15.02.2022;23
16.02.2022;23
17.02.2022;23
18.02.2022;24
19.02.2022;24
20.02.2022;24
21.02.2022;24
22.02.2022;24
23.02.2022;24
24.02.2022;24
25.02.2022;24
26.02.2022;24
27.02.2022;24
28.02.2022;24
01.03.2022;25
02.03.2022;25
03.03.2022;25
04.03.2022;25
05.03.2022;26
06.03.2022;26
07.03.2022;25
08.03.2022;26
09.03.2022;25
10.03.2022;26
11.03.2022;26
12.03.2022;26
13.03.2022;25
14.03.2022;25
15.03.2022;25
16.03.2022;24
17.03.2022;25
18.03.2022;25
19,03,2022;25
22;25
22;25
22;25
22;24
22;25
22;25
